കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Line
രണ്ടു വർണ്ണഗണമേഴും നാലിലൊക്കെ നിർത്തും,കുറത്തി,Neelamperoor Ramakrishnan Nair,1
ചേർന്നഗുരു ചതുർദ്ദശം കേൾ കുറത്തി വൃത്തം,കുറത്തി,Neelamperoor Ramakrishnan Nair,2
വിപ്രപത്നി അപ്രദേശേ ഇരന്നു കിട്ടിയ നെല്ലിൽ,കുറത്തി,Machattu Ilayathu,1
ക്ഷിപ്രമോദം കുറച്ചെടുത്തു വറുത്തിടിച്ചവിലാക്കി,കുറത്തി,Machattu Ilayathu,2
പച്ചമലൈ പവിഴമലൈ എങ്കളത് നാട് ,കുറത്തി,Traditional,1
പരമശിവൻ വാഴുംമലൈ എങ്കൽ മലൈ നാട്,കുറത്തി,Traditional,2
മക്കളുടെ ഗിരിമേവം കേട്ട് കുന്തി താനും ,കുറത്തി,Thullal,1
യിക്കനെ മോദാശ്രു പൊഴിച്ചുൾക്കനിവിനോടെ,കുറത്തി,Thullal,2
ദുർഗ്ഗാ ദേവി വാണരുളും ചാരു ഗേഹം തന്നിൽ ,കുറത്തി,Thullal,3
രുഗ്മിണിയും തോഴിമാരും വിപ്രനാരിമാരും ,കുറത്തി,Thullal,4
പഞ്ചവർണ്ണപ്പെൺകൊടിയേ പൈങ്കിളിയേ വാ വാ,കുറത്തി,Ulloor,1
എത്രകാലം കാത്തിരിയ്ക്കും നശ്വരമാം വസ്തു,കുറത്തി,G. Sankarakkuruppu,1
കരുണയോടെയി തരികനിന്നുടെ സുതനാം രാഘവൻ തന്നെ,കുറത്തി,Kurathippattu,1
കരുണ രസം കരകവിയും കഥപറയാം പക്ഷെ,കുറത്തി,Changambuzha,1
കരളുരുകിക്കരളുരുകിക്കരയരുതിന്നാരും,കുറത്തി,Changambuzha,2
ശാരദ ശശാങ്കബിംബം മാഞ്ഞു മാഞ്ഞൊടുവിൽ,കുറത്തി,Changambuzha,3
താരകകൾ പോലുമൊന്നു കണ്ണടയ്ക്കും നേരം,കുറത്തി,Changambuzha,4
പൂചൊരിയും നീലശൈല കാനനങ്ങൾ ചുറ്റി,കുറത്തി,P. Kunjiraman Nair,1
ഒട്ടു ചേല കൊണ്ടവളങ്ങുത്തരീയം കെട്ടി,കുറത്തി,Kurathippaattu,1
ഉത്തരീയം കെട്ടിയതിൽ കുട്ടിയേയുമിട്ടു,കുറത്തി,Kurathippaattu,2
ഏറെനാളായ് തമ്പുരാട്ടിക്കുള്ളിലുള്ള താപം ,കുറത്തി,Kurathippattu,1
തീരുമാറായ് സൗഖ്യമാർന്നു വാഴുമാറായ്ത്തീരും,കുറത്തി,Kurathippattu,2
ആയതിന്നു മുമ്പിലെന്നാലൊട്ടപായമെല്ലാം,കുറത്തി,Kurathippattu,3
മായമെന്ന്യേ കാണ്മതുണ്ടിക്കൈയിലിക്കുറത്തി,കുറത്തി,Kurathippattu,4
തമ്പുരാട്ടിചെന്താരുള്ളംകൈയു നോക്കിടട്ടെ,കുറത്തി,Sanjayan,1
എമ്പുരാനെക്കൂപ്പി നേരു സർവ്വമോതീടട്ടെ,കുറത്തി,Sanjayan,2
ഏറെനാളായ് തമ്പുരാട്ടിക്കുള്ളിലുള്ള താപം,കുറത്തി,Sanjayan,3
തീരുമാറായ് സൗഖ്യമാർന്നു വാഴുമാറായ്ത്തീരും,കുറത്തി,Sanjayan,4
ആയതിന്നു മുമ്പിലെന്നാലൊട്ടപായമെല്ലാം,കുറത്തി,Sanjayan,5
മായമെന്ന്യേ കാണ്മതുണ്ടിക്കൈയിലിക്കുറത്തി,കുറത്തി,Sanjayan,6
കേരളമാ ഞങ്ങളുടെ കിളിപെരും നാട് ,കുറത്തി,Thirunayinar Kurichi,1
നാളുതോറും നന്മതരും ഞങ്ങളുടെ നാട് ,കുറത്തി,Thirunayinar Kurichi,2
ചിച്ചില്ലെന്നും ചിൽചില്ലെന്നും കാൽ പടത്തിൻ ഓശാ,കുറത്തി,C. A. Hassankutty,1
ഓശാ കേട്ടിമാം അലിയാർ പിന്തിരിഞ്ഞ് നോക്കി,കുറത്തി,C. A. Hassankutty,2
കുറത്തി ഞാനും ഒന്ന് പെറ്റാൽ പത്ത് പെറ്റെ മേനി ,കുറത്തി,C. A. Hassankutty,3
ഫാത്തിമാബി പത്ത് പെറ്റാൽ ഒന്ന് പെറ്റ മേനി ,കുറത്തി,C. A. Hassankutty,4
അക്കരയ്ക്കു ചെന്നുടനെ രാവണനെക്കൊല്ലും,കുറത്തി,Kunjiramayanam,1
ഇഷ്ടനാം വിഭീഷണനു രാജ്യവും കൊടുക്കും,കുറത്തി,Kunjiramayanam,2
കല്ലതായ്ക്കിടന്നിതോരഹല്യതന്റെ ദേഹേ ,കുറത്തി,Kunjiramayanam,3
കാലുവച്ചു രാമനങ്ങു മോക്ഷവും കൊടുക്കും ,കുറത്തി,Kunjiramayanam,4
പ്രേമസുധയൂറി നിൽക്കും തൂമലരുപോലെ ,കുറത്തി,Changambuzha,1
മാമക സൗഭാഗ്യമേ നീ നിദ്ര കൊള്ളും നേരം ,കുറത്തി,Changambuzha,2
ചാടുവാനുറച്ച വിടുന്നാടയും മുറുക്കി ,കുറത്തി,Kaaliyamarddanam Kurathippattu,1
ചാടുവാമോടക്കുഴലും കൂടെയങ്ങെടുത്തു ,കുറത്തി,Kaaliyamarddanam Kurathippattu,2
വീരനായ വീരസേന നന്ദനനും വന്നു ,കുറത്തി,Nalacharitham Kurathippattu,1
നാരിമണിയായ നിന്നെ വേട്ടു കൊണ്ടുപോകും ,കുറത്തി,Nalacharitham Kurathippattu,2
വീരനാം നളന്റെ ഭാര്യ സുന്ദരി ദമയന്തി ,കുറത്തി,Nalacharitham Kurathippattu,3
കാന്തനെ കാണാതുഴഞ്ഞു കാട്ടിൽ നടക്കുമ്പോൾ ,കുറത്തി,Nalacharitham Kurathippattu,4
പുഞ്ചനെൽ മലർപൊടിയും പഞ്ചസാരപാലും,കുറത്തി,Uthara Ramayanam Kurathippattu,1
ചഞ്ചല വിലോചനേ തരുന്നതുണ്ടു ഞാനും ,കുറത്തി,Uthara Ramayanam Kurathippattu,2
വണ്ണമേറും വാഴപോലെ പൊണ്ണനായ ഭീമൻ ,കുറത്തി,Kiratham Kurathippattu,1
അണ്ണനും നിൻ തമ്പികൾ നീ എണ്ണമഞ്ചിവണ്ണം,കുറത്തി,Kiratham Kurathippattu,2
ധീരനായ പാണ്ടവനെയ്ത ശരമെല്ലാം ,കുറത്തി,Kiratham Kurathippattu,3
ഘോരമായ വിൽ മുനയാൽ തല്ലിയൊടിച്ചു ,കുറത്തി,Kiratham Kurathippattu,4
വാടി നൊന്തു മനമുരുകി വരുന്ന വഴിയാണേ,കുറത്തി,Kannyar kali,1
നൊന്തു നൊന്തുരുകി മനം ചിന്ത വലയുന്നെ,കുറത്തി,Kannyar kali,2
കോവിഡും പോയീല ലോക്ഡൗണും നീങ്ങീല,കുറത്തി,M. V. Mohanan,1
എന്തെന്റെ മാവേലി ഓണം വന്നൂ,കുറത്തി,M. V. Mohanan,2
അച്ഛൻ വരുന്നീല ഏട്ടനുമെത്തില്ല,കുറത്തി,M. V. Mohanan,3
എന്തെന്റെ മാവേലി ഓണം വന്നൂ,കുറത്തി,M. V. Mohanan,4
