കവിതകൾ/പാട്ടുകൾ ,വൃത്തം ,Poet ,Line
മാവേലി നാടു വാണീടും കാലം ,,Onappattu Maveli,1
മാനുഷരെല്ലാരുമൊന്നു പോലെ ,,Onappattu Maveli,2
ആമോദത്തോടെ  വസിക്കും  കാലം,,Onappattu Maveli,3
ആപത്തങ്ങാർക്കുമൊട്ടില്ല  താനും,,Onappattu Maveli,4
ആധികൾ വ്യാധികൾ ഒന്നുമില്ല,,Onappattu Maveli,5
ബാലമരണങ്ങൾ കേൾക്കാനില്ല,,Onappattu Maveli,6
ദുഷ്ടരെ കൺകൊണ്ട്  കാണ്മാനില്ല,,Onappattu Maveli,7
നല്ലവരല്ലാതെ ഇല്ല പാരിൽ … ഇല്ല പാരിൽ,,Onappattu Maveli,8
കള്ളവുമില്ല ചതിയുമില്ല,,Onappattu Maveli,9
എള്ളോളമില്ല പൊളിവചനം,,Onappattu Maveli,10
വെള്ളികോലാദികൾ നാഴികളും,,Onappattu Maveli,11
എല്ലാം കണക്കിന് തുല്യമായി… തുല്യമായി,,Onappattu Maveli,12
തൃക്കാക്കരേ ദേവനോണം കാണ്മാൻ ,,Onappattu Maveli,13
പോകേണമെന്നു പുറപ്പെട്ടാറെ ,,Onappattu Maveli,14
ബാലന്മാർ വൃദ്ധന്മാർ മറ്റുള്ളോരും ,,Onappattu Maveli,15
തൃക്കാക്കരെക്കു വഴി നടന്നു ,,Onappattu Maveli,16
എല്ലാ കൃഷികളുമൊന്നുപോലെ,,Onappattu Maveli,17
നെല്ലിനു നൂറുവിളവതുണ്ട്,,Onappattu Maveli,18
ആനകുതിരകളാടുമാടും,,Onappattu Maveli,19
കൂടിവരുന്നതിനന്തമില്ല,,Onappattu Maveli,20
ഈ വക പെണ്ണുങ്ങൾ ഭൂമിലുണ്ടോ ,,,1
മാനത്തീന്നെങ്ങാനും പൊട്ടി വീണോ ,,,2
കുന്നത്തു കൊന്നയും പൂത്തപോലെ ,,,3
ഇളമാവിൻ തയ്യ് തളിർത്തപോലെ ,,,4
കുരുത്തോലയായതിൻ വർണ്ണം പോലെ ,,,5
വയനാടൻ മഞ്ഞൾ മുറിച്ച പോലെ ,,,6
ഈ വക പെണ്ണുങ്ങൾ ഭൂമിലുണ്ടോ ,,,7
അന്നൊട്ടു പാതിര ചെന്ന നേരം ,,,8
ആറ്റുംമണമ്മേലെ ഉണ്ണിയാർച്ച,,,9
നില്ക്കെടാ നില്ക്കെടാ പാഞ്ചെറുക്കാ,,,10
എവിടന്നു വരുന്നെടാ പാണാ നീയ്യ് ,,,11
കൊഞ്ചി കുഴഞ്ഞങ്ങു ചെന്നു ആർച്ച,,,12
ചിത്രത്തൂണുമറ പറ്റി നിന്നു,,,13
കണ്ണാടി നോക്കി തിലകം തൊട്ടു ,,,14
പീലിത്തിരുമുടി കെട്ടിവെച്ചു ,,,15
വെള്ളിത്തളികാ പൊടി തുടച്ചു ,,,16
വെള്ളവിൽ ശർക്കര കദളിപ്പഴം ,,,17
അയ്യോ ചതിച്ചെടാ പെരും കൊല്ലാ നീ ,,,18
എന്നെ ചതിപ്പാൻ വിധി പോരല്ലോ ,,,19
കുത്തുവിളക്കിന്റെ തണ്ടെടുത്തു ,,,20
കച്ചത്തെറുപ്പിലും നീട്ടി ചന്തു ,,,21
പാട്ടൊന്നു പാടടാ പാണഞ്ചെക്കാ,,,22
പാട്ടൊന്നുമറിയില്ല പൊന്നമ്പ്രാനേ ,,,23
എന്തെങ്കിലും പാടടാ പാണഞ്ചെക്കാ,,,24
എന്തോന്നു പാടാനാ കൊച്ചമ്പ്രാനേ ,,,25
സാധുധനികവിഭാഗമില്ല,,Sahodaran Ayyappan,1
മൂലധനത്തിന് ഞെരുക്കമില്ല,,Sahodaran Ayyappan,2
വിദ്യപഠിക്കാന് വഴിയേവര്ക്കും,,Sahodaran Ayyappan,3
സിദ്ധിച്ചു മാബലി വാഴും കാലം,,Sahodaran Ayyappan,4
സാധുജനത്തിൻവിയർപ്പുഞെക്കി,,Sahodaran Ayyappan,5
നക്കിക്കുടിച്ചു മടിയർവീർത്തു,,Sahodaran Ayyappan,6
ഇക്കാണും ലോകങ്ങളീശ്വരന്റെ,,,1
മക്കളാണെല്ലാമൊരുജാതി,,,2
നീക്കിനിറുത്താമോ സമസൃഷ്ടിയെ ദൈവം,,,3
നോക്കിയിരിപ്പില്ലേ യോഗപ്പെണ്ണേതീണ്ടൽ,,,4
ധിക്കാരമല്ലയോ ജ്ഞാനപ്പെണ്ണേ,,,5
കാളിയരയത്തി പെറ്റതല്ലേ,,,1
കേളിയേറും വ്യാസ മാമുനിയെ,Mavelikummi,K P Karuppan,2
നാളീകനേത്രയെ ശന്തനു രാജാവും,,,3
വേളികഴിച്ചില്ലെ യോഗപ്പെണ്ണേ  അത്ര,,,4
കോളാക്കിയോ തീണ്ടൽ ജ്ഞാനപ്പെണ്ണേ,,,5
മുറ്റത്തെ മുല്ലകളൊക്കെപ്പൂത്തു ,Kummi,Changhamuzha,1
കറ്റക്കിടാവിന്റെ കൺ കുളിർത്തു ,,,2
ആയവനാശിച്ചിട്ടില്ലെന്നിരിക്കു കി,,,3
ലാഗമിച്ചീടുമോ പുഷ്പ്പകാലം  അവൻ,,,4
സ്വാഗതമോതുമോ  സാനുകൂലം ,,,5
പൂക്കൾ നിരക്കുന്ന കാലമായി ,Kummi,P Kunjiraman Nair,1
പൂമ്പാറ്റക്കെന്തിത്ര താമസമായ്,,,2
പുള്ളിയുടുപ്പുകളിട്ടുടൻ തോട്ടത്തിൽ ,,,3
പൂമ്പൊടിയുണ്ണുവാൻ വന്നീടേണം വേഗം,,,4
പൂമ്പൊടിയുണ്ണുവാൻ വന്നീടേണം,,,5
വാരിജലോചനൻ നാരായണൻ ,Kummi,Traditional,1
നാരിയായ് വന്നൊരു രൂപം പോലെ ,,,2
സാരസ്യമോടെ വിഷാദത്തമാർന്നിടും ,,,3
നാരായണി പോയി കുമ്മിയാട്  വേഗം,,,4
നാരായണി പോയി കുമ്മിയാട്,,,5
ചേർത്തും കൈകോർത്തും രുചി ,Kummi,Traditional,1
തീർത്തും ജയമോർത്തും ,,,2
കളിയാടിക്കുമ്മിയടിച്ചിടേണം,,,3
കളിയാടിക്കുമ്മിയടിച്ചിടേണം,,,4
ശ്രീകൃഷ്‌ണൻ പണ്ടങ്ങു രുഗ്മിണിയെ ,Kummi,Traditional,1
മന്നവ വീരന്മാർ കാൺകെത്തന്നെ ,,,2
മുഷ്‌ക്കോടെ തേരേറ്റിക്കൊണ്ടും പോയി ,,,3
ദ്വാരകതന്നിലകത്തു പൂക്കൂ ,,,4
വേളി കഴിച്ചു സുഖിച്ചിരുന്നു ,,,5
ഞാനുമവ്വണ്ണം സുഖിച്ചിരിപ്പാൻ ,,,6
ഞാനിതാ ശ്രീപാദം കൈതൊഴുന്നേൻ,,,7
മുട്ടോളം വെള്ളത്തിൽ മുങ്ങും പെണ്ണ്,Kummi,Traditional,1
മുന്നാഴി മുല്ലപ്പൂ ചൂടും പെണ്ണ് ,,,2
നെറ്റിയിൽ ചന്ദനം ചാർത്തും പെണ്ണ് ,,,3
പട്ടാട ഭംഗിയിൽ ചാർത്തും പെണ്ണ്  ,,,4
കാലാരി തന്റെ തിരുനാളിന്,Kummi,Traditional,1
ഉണ്ണാതെ നോറ്റങ്ങുറക്കൊഴിവാൻ,,,2
പാലും നിലാവത്തുറക്കൊഴിവാൻ ,,,3
പാലോലും വാണിമാരെല്ലാ പേരും,,,4
അംഗനമാർകുല മൗലിമണേ,Kummi,Traditional,1
മംഗലമായൊരു ഗീതം പാടി ,,,2
തുംഗ കുചങ്ങൾ കുലുങ്ങവേ വന്നിഹ ,,,3
ഭംഗിയിൽ കുമ്മിയടിച്ചീടുക വന്നു ,,,4
ഭംഗിയിൽ കുമ്മിയടിച്ചീടുക,,,5
ചങ്ങാതി മാരിവരെല്ലാവരും,Kummi,Traditional,1
ഭംഗിയിൽ കുമ്മിയടിക്കുന്നേരം ,,,2
ഇങ്ങനെ നിൽക്കുന്നതെന്തു മനോഹരി ,,,3
ഭംഗിയിൽ വന്നിങ്ങു കുമ്മിയടിനല്ല ,,,4
ഭംഗിയിൽ വന്നിങ്ങു കുമ്മിയടി,,,5
ഉണ്ണിയാം കൃഷ്ണൻ പണ്ടമ്പാടിയിൽ,Kummi,Traditional,1
ഉണ്ണിക്കിടാങ്ങളുമായ്ക്കലർന്നു,,,2
മണ്ണിൽക്കളിക്കുന്ന നേരത്തിങ്കൽ ,,,3
മണ്ണുതിന്നിക്കണ്ണ നെന്നോരുണ്ണി ഇതാ     ,,,4
മണ്ണുതിന്നിക്കണ്ണ നെന്നോരുണ്ണി,,,5
 സന്തതം സുമശരം ,,,6
ഇത്തരം ചൊല്ലി ഗ്ഗുരുവായൂരപ്പനെ,Kummi,Traditional,1
ച്ചിത്തത്തിലോർത്തു പറന്നു തത്ത ,,,2
ഉത്തമം പാട്ടിതു പാടിയാ പെണ്ണുങ്ങൾ ,,,3
പത്തനം തോറും സുഖിച്ചു വാണാർ നല്ല ,,,4
പത്തനം തോറും സുഖിച്ചു വാണാർ,,,5
ഇന്നിക്കഥകൾ പഠിക്കുന്നോർക്കു ,Kummi,Traditional,1
മണ്ണിലും വിണ്ണിലും സൗഖ്യമുണ്ടാം ,,,2
പാടിക്കളിച്ചീടിൽ കോടക്കാർവർണ്ണനും ,,,3
കൂടെക്കളിച്ചഴൽ തീർത്തീടും പോൽ ,,,4
പേടിപ്പിച്ചോടിക്കാൻ നോക്കി പൂതം ,Kummi,Idasseri,1
പേടിക്കാതെങ്ങനെ നിന്നാളമ്മ ,,,2
കാറ്റിൽ ചുഴലിയായ്ച്ചെന്നു  പൂതം ,,,3
കുറ്റികണക്കങ്ങു നിന്നാളമ്മ  തനി,,,4
കുറ്റികണക്കങ്ങു നിന്നാളമ്മ ,,,5
കാലിൽ ചിലമ്പിട്ടു കണ്ണെഴുതി ,,M Govindan,1
കാണാൻ വരുന്നൊരെ കണ്ടുകൊള്ളൂ ,,,2
കാക്കിരി പോക്കിരി കണ്ണൻ ചിരട്ട ,,,3
കുപ്പായ കീശയിൽ കാശുവീണു പുതു ,,,4
കുപ്പായ കീശയിൽ കാശുവീണു ,,,5
പാലട പ്രഥമനും നാലുകൂട്ടം ,,,1
വായിലലിയുന്ന പായസവും ,,,2
പപ്പടമുപ്പേരി പഴനുറുക്കും ,,,3
വിക്കി വിലക്കി വിളമ്പുമല്ലോ ,,,4
വീര വിരാട കുമാര വിഭോ ,,,1
ചാരുതര ഗുണ സാഗരഭോ ,,,2
മാരലാവണ്യ  നാരിമനോ,,,3
ഹാരി താരുണ്യ ജയ ജയ,Iratta Kummi,Irayimman Thampi,4
ഭൂരി കാരുണ്യ വന്നീടുക ,,,5
ചാരത്തിഹ പാരിൽത്തവ നേരൊത്ത വരാരുത്തര,,,6
സാരസ്യസാര മറിവതിനും നല്ല ,,,7
മാരസ്യാ ലീലകൾ ചെയ്വതിനും ,,,8
ചൊൽ പൊങ്ങിന കല്പദ്രുമ,KummiIratti,Traditional,1
മല്പം തൃണകല്പ കില   ,KummiIratti,Traditional,2
തല്പരിതോഷം വളർത്തീടുവാനിന്നു,KummiIratti,Traditional,3
ശില്പമായ് കുമ്മി അടിച്ചിടേണം നമ്മൾ ,KummiIratti,Traditional,4
ശില്പമായ് കുമ്മി അടിച്ചിടേണം ,KummiIratti,Traditional,5
ഏഷാ കിമു ദോഷാകുര,,,1
ഭൂഷേശ്വര യോഷാമണി ,KummiIratti,Traditional,1
ഭാഷാ ഭവതിയോ രമയോ രാഞ്ജി,KummiIratti,Traditional,2
വേഷാഞ്ചിതമായി വിളങ്ങീടുന്നു,KummiIratti,Traditional,3
നല്ല വേഷാഞ്ചിതമായി വിളങ്ങീടുന്നു,KummiIratti,Traditional,4
രംഗത്തിൽ മൃദംഗധ്വനി ,,,1
സംഗീത വിധങ്ങൾക്കനു,,,2
കൂലത്തിൽ കുമ്മിയടിച്ചിടേണം ,,,3
മേളത്തിൽ കുമ്മിയടിച്ചിടേണം ,KummiIratti,Traditional,4
ചേർത്തും കൈകോർത്തും രുചി,,,5
കളിയല്ല പൊളിയല്ല കുഞ്ഞാത്തോലേ,,,1
വെള്ളാരം കല്ലിനു വേരിറങ്ങി,,,2
കൊച്ചു കുഞ്ഞിന്റച്ഛനൊരു ,,,3
പട്ടുവാങ്ങാൻ  പോയി ,,,4
ഞെട്ടട്ട് പാറ പൊളിയട്ട് പാറ,,,1
ഇല്ലാത്തോരുണ്ണി പിറന്നെന്നു കേട്ടിട്ടു,,,2
കൊല്ലത്തു നിന്നവരെല്ലാം വന്നു ,,,3
ഊഞ്ഞാലാടാൻ വാടീപെണ്ണേ,,,4
നല്ലപെണ്ണേ നങ്ങേലീ,,,5
കൊച്ചിക്കാരത്തി കൊച്ചുപെണ്ണേനിന,,Nadanpaattu,1
ക്കെങ്ങിനെ കിട്ടിയീ കണ്ണിളക്കം ,,Nadanpaattu,2
മാനത് വിത്തു വിതച്ചവൻ ,,Nadanpaattu,3
മാനിച്ചു തന്നതീ കണ്ണിളക്കം  ,,Nadanpaattu,4
ആടും മുടിയതിൽ ചീറുന്ന സർപ്പവും ,,Nadanpaattu,1
നീറുമണിയുന്ന തമ്പുരാനേ ,,Nadanpaattu,2
കൂറോടു നമിച്ചിന്നിത ഏറുന്നൊരു മോദത്തോടു ,,Nadanpaattu,3
പാരാതെ വന്നു നമിച്ചീടേണം  ഇന്നു ,,Nadanpaattu,4
പാരാതെ വന്നു നമിച്ചീടേണം,,Nadanpaattu,5
