കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Line,
ഓ തിത്തിത്താരാ തിത്തിത്തൈ,നതോന്നത,Vanchippatt,1,
തിത്തൈ  തക തയ് തയ്  തോം,നതോന്നത,Vanchippatt,2,
കുട്ടനാടൻ പുഞ്ചയിലെ കൊച്ചുപെണ്ണേ കുയിലാളേ,നതോന്നത,Vanchippatt,1,
കൊട്ടുവേണം കുഴൽ വേണം കുരവ വേണം,നതോന്നത,Vanchippatt,2,
വരവേൽക്കാനാളൂ വേണം കൊടിതോരണങ്ങൾ വേണം ,നതോന്നത,Vanchippatt,1,
വിജയശ്രീലാളിതരായ്  വരുന്നു ഞങ്ങൾ,നതോന്നത,Vanchippatt,2,
കറുത്ത ചിറകു വച്ചു അരയന്നക്കിളി പോലെ,നതോന്നത,Vanchippatt,1,
കുതിച്ചു കുതിച്ചു പായും കുതിര പോലെ,നതോന്നത,Vanchippatt,2,
തെങ്ങോലകൾ പൊന്നോലകൾ മാടി മാടി വിളിക്കുന്നു,നതോന്നത,Vanchippatt,1,
തെന്നൽ വന്നു വെഞ്ചാമരം വീശിത്തരുന്നു,നതോന്നത,Vanchippatt,2,
ചമ്പക്കുളം പള്ളിക്കൊരു വള്ളം കളി പെരുന്നാൾ,നതോന്നത,Vanchippatt,1,
അമ്പലപ്പുഴയിലൊരു കുത്ത് വിളക്ക്,നതോന്നത,Vanchippatt,2,
കരുമാടിക്കുട്ടനിന്നു പനിനീർക്കാവടിയാട്ടം,നതോന്നത,Vanchippatt,1,
കാവിലമ്മക്കിന്നു രാത്രി ഗരുഢൻ തൂക്കം,നതോന്നത,Vanchippatt,2,
ഉണ്ണി നിന്റെ തിരുമുഖം തിരുമേനി ഭംഗികണ്ടാൽ,നതോന്നത,Arnost Pathiri,1,
കണ്ണിനാനന്ദവും ഭാഗ്യസുഖമേ പുത്രാ,നതോന്നത,Arnost Pathiri,2,
ആദമെന്ന പിതാവിന്റെ തലയിൽ വൻമരം തന്നിൽ,നതോന്നത,Arnost Pathiri,1,
ആദിനാഥാ കുരിശിൽ നീ തൂങ്ങിയോ പുത്രാ,നതോന്നത,Arnost Pathiri,2,
ആണിയിന്മേൽ തൂങ്ങി നിന്റെ ഞരമ്പെല്ലാം വലിയുന്ന,നതോന്നത,Arnost Pathiri,1,
പ്രാണവേദന ആസകലം സഹിച്ചോ പുത്രാ,നതോന്നത,Arnost Pathiri,2,
സൂര്യനും പോയ്മറഞ്ഞയ്യോ ഇരുട്ടായി ഉച്ചനേരം,നതോന്നത,Arnost Pathiri,1,
വീര്യവാനെ നീ മരിച്ച ഭീതിയോ പുത്രാ,നതോന്നത,Arnost Pathiri,2,
വീറോടെയാക്കളിവഞ്ചി തുഴഞ്ഞ് തുഴഞ്ഞ് കേറും,നതോന്നത,Sathyasheelan,1,
ആരോമലിൻ  കുഞ്ഞുപെങ്ങൾ  ആർച്ചയെപ്പോലെ,നതോന്നത,Sathyasheelan,2,
ചെറുമനും പരമനും സുലൈമാനും ചാക്കോച്ചനും,നതോന്നത,Sathyasheelan,1,
ചുണ്ടൻ  വള്ളം തുഴയുന്ന തുഴച്ചിൽ  കണ്ടാൽ,നതോന്നത,Sathyasheelan,2,
കുറിച്ചിക്കൽ  പള്ളിയിൽ മെഴുക്തിരി വെക്കണം,നതോന്നത,Sathyasheelan,1,
കുലദൈവങ്ങളെ ഓർത്ത്  തൊഴുകവേണം,നതോന്നത,Sathyasheelan,2,
ദൈവത്തിന്റെ സ്വന്തം നാടായ് പുകൾ പെറ്റ കേരളത്തിൻ,നതോന്നത,Swapna Saji,1,
മക്കളേറെ വിരാജിപ്പൂ ലോകമെമ്പാടും,നതോന്നത,Swapna Saji,2,
ഈ ലോകത്തിൽ ഏതു കോണിൽ കഴിഞ്ഞാലും നാടിൻ സ്വത്വം,നതോന്നത,Swapna Saji,1,
മറക്കാതെ കാത്തിടാനായി ശ്രമിച്ചിടേണം,നതോന്നത,Swapna Saji,2,
ജാതിമതഭേദമന്യേ പ്രവാസിയാം മലയാളി,നതോന്നത,Swapna Saji,1,
ഏകത്വത്തിൽ മന്ത്രധ്വനി മുഴക്കിടേണം,നതോന്നത,Swapna Saji,2,
മണ്ണുതിന്നു മകനെന്നു കേട്ടിട്ടമ്മ കോപിച്ചപ്പോൾ,നതോന്നത,Kuchela Vritham,1,
ഉണ്ണിക്കൃഷ്ണൻ വാ പിളർന്നിട്ടുലകീരേഴും,നതോന്നത,Kuchela Vritham,2,
ചാലേ വലത്തോട്ടൊഴിഞ്ഞ ചകോരാദി പക്ഷികടെ,നതോന്നത,Kuchela Vritham,1,
കോലാഹലം കേട്ടുകൊണ്ടു വിനർഗമിച്ചു.,നതോന്നത,Kuchela Vritham,2,
ഏഴു രണ്ടുലകുവാഴിയായ തമ്പുരാനെത്രയും,നതോന്നത,Kuchela Vritham,1,
താഴെത്തന്റെ വയസ്യനെ ദൂരത്തു കണ്ടു,നതോന്നത,Kuchela Vritham,2,
വിശേഷങ്ങളിനിയും പറഞ്ഞുകൊള്ളാം ബന്ധംവിനാ,നതോന്നത,Kuchela Vritham,1,
വിശക്കുന്നു നമുക്കതു സഹിച്ചുകൂടാ,നതോന്നത,Kuchela Vritham,2,
കേശവൻ ഗോവിന്ദൻ മധു-സൂദനൻ കൈടഭാന്തകൻ,നതോന്നത,Kuchela Vritham,1,
ക്ലേശപാശവിനാശനൻ കേശീമഥനൻ,നതോന്നത,Kuchela Vritham,2,
രാമകൃഷ്ണ ഗോവിന്ദ ഗോപാല ബലഭദ്രരാമ,നതോന്നത,Kuchela Vritham,1,
രാമാനുജ രമാപതേ പരശുരാമ,നതോന്നത,Kuchela Vritham,2,
ബന്ധുര തിരുവനന്തപുരത്തെയും ഭക്ത ജന,നതോന്നത,Kuchela Vritham,1,
ബന്ധുവായ പത്മനാഭനേയും തൊഴുന്നേൻ,നതോന്നത,Kuchela Vritham,2,
ചിന്നിയ പൂങ്കുലകളാം പട്ടുതൊങ്ങൽ ചൂഴുമൊരു,നതോന്നത,Kumaranasan,1,
പൊന്നശോകം വിടർത്തിയ കുടതൻ കീഴിൽ,നതോന്നത,Kumaranasan,2,
‘സമയമായില്ല’പോലും ‘സമയമായില്ല’പോലും,നതോന്നത,Kumaranasan,1,
ക്ഷമയെന്റെ ഹൃദയത്തിലൊഴിഞ്ഞു തോഴി.,നതോന്നത,Kumaranasan,2,
പാലപൂത്തു പരിമളം ചുമന്നു ശുദ്ധമാം പുലർ-,നതോന്നത,Kumaranasan,1,
കാലവായു കുളിർത്തെങ്ങും ചരിക്കയായി.,നതോന്നത,Kumaranasan,2,
ഉടഞ്ഞ ശംഖം‌പോലെയുമുരിച്ചു മുറിച്ച വാഴ-,നതോന്നത,Kumaranasan,1,
ത്തടപോലെയും തിളങ്ങുമസ്ഥിഖണ്ഡങ്ങൾ,,നതോന്നത,Kumaranasan,2
ചിഹ്നസംഖ്യകൾ കൂട്ടുമ്പോൾ വ്യത്യസ്ത ചിഹ്നങ്ങളായാൽ,നതോന്നത,N. Sudhakaran,1,
വ്യത്യാസം കണ്ടു വലുതിൻ ചിഹ്നമിട്ടീടൂ,നതോന്നത,N. Sudhakaran,2,
പൈതഗോറസിന്റെ മട്ട ത്രികോണ സിദ്ധാന്തമല്ലോ,നതോന്നത,N. Sudhakaran,1,
പാദലംബ വർഗ്ഗ തുക കർണ്ണവർഗ്ഗമാം,നതോന്നത,N. Sudhakaran,2,
വൃത്തത്തിൻ പരിധിയല്ലോ ടൂപൈയാറ് വിസ്തീർണ്ണമോ,നതോന്നത,N. Sudhakaran,1,
പൈയാർ സ്‌ക്വയേഡുമായിടും ആറെന്നാലാരം ,നതോന്നത,N. Sudhakaran,2,
അരിപ്പാട്ടെ കുറുപ്പച്ചൻ തുണിത്തുമ്പേപ്പണം കെട്ടി,നതോന്നത,പി. നാരായണക്കുറുപ്പ്,1,
അകമേ തോന്നിയ പാട്ടു നാവിൽ ത്തുള്ളിപ്പോയ്,നതോന്നത,പി. നാരായണക്കുറുപ്പ്,2,
അകത്തു കേറാതെ ഞങ്ങൾ പടിഞ്ഞാറേ നടയെത്തി,നതോന്നത,പി. നാരായണക്കുറുപ്പ്,1,
പുലയനാർ മണിയമ്മ പൂമുല്ലക്കാവിലമ്മ,നതോന്നത,P. Bhaskaran,1,
കലമാന്‍റെ മിഴിയുള്ള കളിത്തത്തമ്മ,നതോന്നത,P. Bhaskaran,2,
പുത്തുരുക്കൻ നെയ്യൊഴിച്ചു വൃത്തമൊത്ത അപ്പമിപ്പോൾ,നതോന്നത,Vathilthurappatt,1,
പത്തുനൂറായിരം ഞാനോ കൊണ്ടന്നിട്ടുണ്ട്,നതോന്നത,Vathilthurappatt,2,
ചെത്തിയും ചേമന്തികളും പൂത്തിലഞ്ഞിക്കുസുമവും,നതോന്നത,Vathilthurappatt,1,
പത്തുനൂറു പറയോളം കൊണ്ടു വന്നല്ലോ,നതോന്നത,Vathilthurappatt,2,
അംബുധിയിൽ തിരമാല വരുമ്പോലെൻ നാവുതന്മേൽ,നതോന്നത,Vathilthurappatt,1,
അളവില്ലാതോളം പാട്ടുമുളവാകേണം,നതോന്നത,Vathilthurappatt,2,
കുടമുല്ലക്കാടുകളിൽ തെളിതാര നിരകൂടും,നതോന്നത,പി. കുഞ്ഞിരാമൻ  നായർ,1,
കുടജാദ്രിവനരാജ കുമാരിക ഞാൻ,നതോന്നത,പി. കുഞ്ഞിരാമൻ  നായർ,2,
പിളർക്കുന്ന പ്രപഞ്ചത്തിൻ മേലാപ്പതിനുള്ളിൽ നിന്നും,നതോന്നത,Sugathakumari,1,
കുതിച്ചിറങ്ങുന്നു ലക്ഷം മുല്ലമാലകൾ,നതോന്നത,Sugathakumari,2,
ജാതിയും മതങ്ങളും മറന്നിന്നു നമുക്കൊരു ,നതോന്നത,Vellayani Arjunan,1,
ജാതിയായി മനുഷ്യരായി കഴിഞ്ഞു കൂടാം,നതോന്നത,Vellayani Arjunan,2,
പ്രസവലീവെടുത്തുംകൊണ്ടകലെപ്പോയ് ഹേമന്തം ,നതോന്നത,K.Ayy. Panicker,1,
കസവിട്ടകിനാവിന്റെ തള്ളയായല്ലോ.,നതോന്നത,K.Ayy. Panicker,2,
അല്ലിയാമ്പൽ കടവിലന്നരയ്ക്കു വെള്ളം അന്നു,നതോന്നത,Film song,1,
നമ്മളൊന്നായ്‌ തുഴഞ്ഞില്ലേ കൊതുമ്പു വള്ളം,നതോന്നത,Film song,2,
അന്നത്തിനും പഞ്ഞമില്ല സ്വർണ്ണത്തിനും പഞ്ഞമില്ല,നതോന്നത,Nalankal,1,
മന്നിതിൽ കരുണക്കാണു പഞ്ഞം സോദരരേ,നതോന്നത,Nalankal,2,
കബനീ നടിയിലൂടൊഴുകി പ്പോയൊരു ജഡം,നതോന്നത,Nalankal,1,
കസവു കീറിപ്പോയ മന്ത്രകോടിയെപ്പോലെ,നതോന്നത,Nalankal,2,
പൊന്നരിവാളമ്പിളിയിൽ കണ്ണെറിയുന്നോളേ,നതോന്നത,KPAC,1,
ആ മരത്തിൻ പൂന്തണലിൽ വാടി നിൽക്കുന്നോളേ,നതോന്നത,KPAC,2,
കൃഷ്ണ കൃഷ്ണ എന്നല്ലാതെ തൃഷ്ണയെന്യേയെന്മനസ്സിൽ,നതോന്നത,Kunchan Nambiar,1,
വൃഷ്ണിവംശ ശിഖാമണേ ചിന്തയില്ല മേ,നതോന്നത,Kunchan Nambiar,2,
ചന്ദ്രക്കാരൻമാങ്ങയുണ്ടേ മുരിങ്ങക്കാകോലുംചേർത്തു,നതോന്നത,M. Geethadevi,1,
ചെമ്മീനിട്ടുകറിവച്ചാലൂണു കെങ്കേമം.,നതോന്നത,M. Geethadevi,2,
ശ്രാവണത്തിലുതൃട്ടാതിവളളംകളിപ്പൂരം കാണാൻ,നതോന്നത,M. Geethadevi,1,
പമ്പയാറ്റിൻ തീരത്തെത്താം കൈകൊട്ടിപ്പാടാം,നതോന്നത,M. Geethadevi,2,
താളമേളവാദ്യത്തോടെയാർപ്പുവിളി മുഴങ്ങുമ്പോൾ,നതോന്നത,M. Geethadevi,1,
പള്ളിയോടഘോഷയാത്ര കണ്ടുരസിക്കാം,നതോന്നത,M. Geethadevi,2,
ജീവിതമാംസാഗരത്തിൽ തുഴയില്ലാതുഴറുമ്പോൾ,നതോന്നത,M. Geethadevi,1,
ജീവന്മുക്തിയരുളേണമൂനംകൂടാതേ,നതോന്നത,M. Geethadevi,2,
ഇടത്തല്ല വലത്തല്ല നടുക്കല്ലെൻ സരസ്വതി,നതോന്നത,വി ടി കുമാരൻ,1,
വെളുത്ത താമരപ്പൂവിലുറക്കമല്ല,നതോന്നത,വി ടി കുമാരൻ,2,
കുന്നിമണിച്ചെപ്പു തുറന്നെണ്ണി നോക്കും നേരം പിന്നിൽ,നതോന്നത,O.N.V,1,
വന്നുകണ്ണു പൊത്തും തോഴനെങ്ങു പോയി,നതോന്നത,O.N.V,2,
അറുന്നൂറു പുലിക്കൂട്ടം ആറുനീന്തിക്കടന്നപ്പോൾ  ,നതോന്നത,Dr. M.S.Sreekumar,1,
അതിലൊരു പുലിയുടെ തല കണ്ടില്ല                      ,നതോന്നത,Dr. M.S.Sreekumar,2,
ചിരിച്ചും കുമ്പ കുലുക്കി കരത്തിനാൽ മുദ്ര കാട്ടി –,നതോന്നത,Dr. M.S.Sreekumar,1,
പുലിക്കൂട്ടത്തിൻ വരവു  കാണു മാളോരെ               ,നതോന്നത,Dr. M.S.Sreekumar,2,
വരയൻ പുലിയും പിന്നെ കരിവീട്ടി കണക്കുള്ള –,നതോന്നത,Dr. M.S.Sreekumar,1,
കരിമ്പുലി പുള്ളിപ്പുലി കാണുമാളോരേ,നതോന്നത,Dr. M.S.Sreekumar,2,
പൊരിവെയിൽ പെരുമഴ വകവയ്ക്കാതിടം വലം –,നതോന്നത,Dr. M.S.Sreekumar,1,
ചുവടുകൾ വച്ചിതാടും പുലിക്കൂട്ടങ്ങൾ,നതോന്നത,Dr. M.S.Sreekumar,2,
അകത്തും പുറത്തു മൊന്നായ്  നുരയുന്ന ലഹരി പോൽ -,നതോന്നത,Neelabham,1,
പെരും ചോടുവച്ചിതാടും പുലിക്കൂട്ടങ്ങൾ,നതോന്നത,Neelabham,2,
നാരായണ നാരായണ  ജയ ജയ ജനാർദ്ദന,നതോന്നത,Neelabham,1,
നാരായണ ജയ ജയ ലോകപാലക,നതോന്നത,Neelabham,2,
ചതുർഭുജ പദ്മനാഭ മധുരിപു പീതാംബരാ,നതോന്നത,Neelabham,1,
ശതകോടി നമസ്കാരം പാഹി പാഹിമാം,നതോന്നത,Neelabham,2,
തണുത്ത പൂന്തണൽ വീശി  പടർന്നു ചൂഴ്ന്നു നിന്നൊരാ,നതോന്നത,Lakshmi Devi,1,
തരു ഘോര മിടിപ്പെട്ടി പിളർന്നു വീഴ്‌കെ,നതോന്നത,Lakshmi Devi,2,
കൃഷ്ണവന ചോലകളിൽ കണ്ണുനീരു കുതിരുന്നു,നതോന്നത,Lakshmi Devi,1,
കൃഷ്ണ ദാസി ഗോപനാരി വിട ചൊല്ലവേ,നതോന്നത,Lakshmi Devi,2,
ചെത്തി മന്ദാരം തുളസി പിച്ചക മാലകൾ ചാർത്തി,നതോന്നത,Film song,1,
ഗുരുവായൂരപ്പാ നിന്നെ കണി കാണേണം,നതോന്നത,Film song,2,
കൈകൾ രണ്ടും കഴുകേണം ദിവസേന പലവട്ടം,നതോന്നത,School wiki,1,
നാട്ടിൽ നിന്നും കോവിഡിനെ തുരത്തീടേണം,നതോന്നത,School wiki,2,
മാസ്ക് നമ്മൾ ധരിക്കേണം അകലമെന്നും പാലിക്കേണം,നതോന്നത,School wiki,1,
തുമ്മുമ്പോഴും ചീറ്റുമ്പോഴും ജാഗ്രത വേണം,നതോന്നത,School wiki,2,
മദമത്തവീരരായി മണ്ണിൽ നാശം വിതയ്ക്കയായ്,നതോന്നത,Johnson M.,1,
മലിനമായ് ജലം വായു മണ്ണുമെത്രയും,നതോന്നത,Johnson M.,2,
മാനവരേ യിനിവരും തലമുറ നമുക്കൊന്നും,നതോന്നത,Johnson M.,1,
മാപ്പുതരില്ലിതിൻ വണ്ണം മുന്നോട്ടുപോയാൽ,നതോന്നത,Johnson M.,2,
മടിക്കാതെ മറക്കാതെ മനസ്സുവച്ചൊന്നിച്ചു നാം,നതോന്നത,Johnson M.,1,
മനഞ്ഞെടുത്തുടൻ ജലം സംരക്ഷിക്കേണം.,നതോന്നത,Johnson M.,2,
പറക്കുന്നു പൂമ്പാറ്റകൾ പരമാനന്ദമായെങ്ങും,നതോന്നത,Kumaranasan,1,
നിറയ്ക്കുന്നിളംകാറ്റു പൂമ്പരിമളങ്ങൾ,നതോന്നത,Kumaranasan,2,
നാരായണഗുരുസ്വാമി വ്രതനിഷ്ഠരിൽ പുരാണ,നതോന്നത,Kumaranasan,1,
നാരായണമുനിതാനോ? ഞാനറിഞ്ഞില്ല.,നതോന്നത,Kumaranasan,2,
അടിമച്ചങ്ങലയെല്ലാമയഞ്ഞഴിഞ്ഞറ്റു വീണു,,നതോന്നത,Uloor,1
തടങ്കൽക്കൽത്തുറുങ്കെങ്ങും താനേ തുറന്നു.,നതോന്നത,Uloor,2,
നടക്കട്ടെ മുന്നോട്ടേയ്ക്കു സകലസൽഗുണങ്ങൾക്കും,നതോന്നത,Uloor,1,
നടനവേദിയായ്‌മിന്നും നമ്മുടെ രാജ്യം.,നതോന്നത,Uloor,2,
ഇടത്തുംവലത്തുമായി  മാറി മാറി കുത്തിയിട്ടും,നതോന്നത,Sajeev Pattathu,1,
ഇടതും വലതും മാത്രം മാറിയില്ലൊട്ടും.,നതോന്നത,Sajeev Pattathu,2,
ആഴമേറും നിന്‍ മഹസ്സാ-മാഴിയില്‍ ഞങ്ങളാകവേ,നതോന്നത,Narayana Guru,1,
ആഴണം വാഴണം നിത്യം വാഴണം  സുഖം,നതോന്നത,Narayana Guru,2,
കൂട്ടുകാരൊത്തനവധി  പാട്ടുപാടിത്തണ്ടു ചാണ്ടും ,നതോന്നത,K. P. Karuppan ,1,
കൂട്ടുകാരാം വാലന്മാരാണറിക ഞങ്ങൾ,നതോന്നത,K. P. Karuppan ,2,
ശാകുന്തളം മലയാളമാകുന്ദളോദരിയുടെ,നതോന്നത,K. P. Karuppan ,1,
വാർകുന്തളുപ്പൂവാക്കിയ  വഞ്ചീശ്വരീശൻ,നതോന്നത,K. P. Karuppan ,2,
അലസതക്കടിമപ്പെട്ടലയുമെന്നുടെയുള്ളിൽ  ,നതോന്നത,K. P. Karuppan ,1,
വിലസണം വിനായകൻ കുലഗജാസ്യൻ,നതോന്നത,K. P. Karuppan ,2,
പന്നഗേന്ദ്ര ശയന ശ്രീ പദ്മനാഭ മുദ കാമ ,നതോന്നത,Swathi,1,
സന്ന മാനവ മാമക മാമവ വിഭോ ,നതോന്നത,Swathi,2,
